NOMBRE,"SUPERFICIE (KM2)",UBICACIÓN,COMENTARIOS,"PETRÓLEO CRUDO EQUIVALENTE 1P (MMBPCE)","CRUDO 1P (MMB)","GAS NATURAL 1P (MMMPC)","CONDENSADO 1P (MMB)","VOLUMEN ORIGINAL DE CRUDO 1P (MMB)","VOLUMEN ORIGINAL DE GAS 1P (MMMPC)","PETRÓLEO CRUDO EQUIVALENTE 2P (MMBPCE)","CRUDO 2P (MMB)","GAS NATURAL 2P (MMMPC)","CONDENSADO 2P (MMB)","VOLUMEN ORIGINAL DE CRUDO 2P (MMB)","VOLUMEN ORIGINAL DE GAS 2P (MMMPC)","PETRÓLEO CRUDO EQUIVALENTE 3P (MMBPCE)","CRUDO 3P (MMB)","GAS NATURAL 3P (MMMPC)","CONDENSADO 3P (MMB)","VOLUMEN ORIGINAL DE CRUDO 3P (MMB)","VOLUMEN ORIGINAL DE GAS 3P (MMMPC)"
NUMERADOR,0.0885,Terrestre,,0,0,0.01,0,0,3.46,0,0,0.01,0,0,0,0,0,0.01,0,0,0
NAB,12.29,Marino,,0,0,0,0,0,0,0,0,0,0,0,0,32.83,32.4,2.63,0.01,407.98,33.05
TRION,22.3574,Marino,,343.93,287.25,323.08,0,1180.8,1199.4,502.51,463.46,222.53,0,307,49,630.21,583.09,268.54,0,98.6,96.6
RABEL,4.42,Terrestre,,0.01,0,0.05,0,0,63.99,0.01,0,0.05,0,0,0,0.01,0,0.05,0,0,0
AZUCAR,12.33,Terrestre,,0.02,0,0.14,0,0,3.12,0.02,0,0.14,0,0,0.82,0.02,0,0.14,0,0,1.37
EMERGENTE,11.2606,Terrestre,,0.02,0,0.11,0,0,21.43,0.02,0,0.11,0,0,85.72,0.02,0,0.11,0,0,278.56
HABANO,15.501,Terrestre,,0.12,0,0.59,0,0,17.78,0.12,0,0.59,0,0,0,0.12,0,0.59,0,0,0
VERNET,31.3152,Terrestre,,8.7,7.08,9.7,0,84.08,210.52,16.06,13.31,16.54,0,0.44,2.79,19.34,16.03,19.9,0,0.68,4.7
JABALINA,2.1924,Terrestre,,0,0,0.01,0,0,1.6,0,0,0.01,0,0,0,0,0,0.01,0,0,0
CAUCHY,59.18,Terrestre,,1,0,5.19,0,0,572.91,1,0,5.19,0,0,0,1,0,5.19,0,0,0
