POZO,CAMPO,ENTIDAD,UBICACIóN,CLASIFICACIóN,"ESTADO ACTUAL","TIPO DE HIDROCARBURO","FECHA INICIO PERFORACIóN","FECHA FIN PERFORACIóN","PROFUNDIDAD TOTAL","PROFUNDIDAD VERTICAL",TRAYECTORIA,DISPONIBLE
NASA-1,"NO DISPONIBLE","AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE,15-ABR-2004,03-SEP-2004,5250.00,5250.00,VERTICAL,DISPONIBLE
NEMITI-1,"NO DISPONIBLE","AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE,01-AGO-2003,20-AGO-2003,1230.00,1230.00,VERTICAL,DISPONIBLE
ABKATUN-245A,ABKATUN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,02-MAY-1981,16-AGO-1981,3521.00,3521.00,DIRECCIONAL,DISPONIBLE
SUUK-6DES,SUUK,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,,21-ENE-2022,05-JUL-2022,6718.00,6369.00,,CONFIDENCIAL
KU-97,MALOOB,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,PRODUCTOR,ACEITE,11-ENE-1998,07-JUN-1998,3526.00,3215.20,DIRECCIONAL,DISPONIBLE
ABKATUN-43,ABKATUN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,26-AGO-1982,10-SEP-1983,4164.00,3675.30,DIRECCIONAL,DISPONIBLE
YAAXTAAB-1,"NO DISPONIBLE","AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,"ABANDONO PERMANENTE",,27-NOV-2017,26-NOV-2018,7846.00,7846.00,VERTICAL,DISPONIBLE
ESCUALO-8,ESCUALO,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,CERRADO,,20-MAY-1974,05-JUL-1974,3210.00,3118.90,DIRECCIONAL,DISPONIBLE
CANTARELL-3052,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,29-JUL-2013,07-NOV-2013,3637.00,2849.00,HORIZONTAL,DISPONIBLE
YEY-1,"NO DISPONIBLE","AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE,09-ABR-2004,26-OCT-2004,4730.00,4730.00,VERTICAL,DISPONIBLE
BAGRE-5,BAGRE,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,CERRADO,ACEITE,08-SEP-1972,15-NOV-1972,3240.00,3127.40,DIRECCIONAL,DISPONIBLE
ARENQUE-31,ARENQUE,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,PRODUCTOR,ACEITE,08-ABR-1973,23-OCT-1973,4318.50,3433.00,DIRECCIONAL,DISPONIBLE
TSIMIN-51,TSIMIN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE-GAS,,17-ENE-2013,,,,DISPONIBLE
MORSA-16,MORSA,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,28-NOV-1971,01-FEB-1972,3617.00,3263.30,DIRECCIONAL,DISPONIBLE
MERLUZA-1,ARENQUE,"AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE,27-DIC-2004,28-FEB-2005,3489.00,3489.00,DIRECCIONAL,DISPONIBLE
ABKATUN-97D,ABKATUN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,PRODUCTOR,ACEITE,27-AGO-1995,19-NOV-1995,3530.00,3334.40,DIRECCIONAL,DISPONIBLE
CANTARELL-3004,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,20-AGO-2006,22-OCT-2006,3191.00,3110.00,DIRECCIONAL,DISPONIBLE
SIHIL-3,SIHIL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,PRODUCTOR,ACEITE,25-MAY-2009,09-SEP-2009,4080.00,3672.80,DIRECCIONAL,DISPONIBLE
KU-467,MALOOB,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,07-MAR-2003,10-SEP-2003,3543.00,3361.30,DIRECCIONAL,DISPONIBLE
ABKATUN-71D,ABKATUN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,30-OCT-1994,29-DIC-1994,4132.00,3534.20,DIRECCIONAL,DISPONIBLE
TECOALLI-1,TECOALLI,"AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE-GAS,29-ENE-2008,18-MAY-2008,3930.00,3930.00,VERTICAL,DISPONIBLE
CANTARELL-3027D,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,02-JUN-2007,05-SEP-2007,3490.00,2760.60,HORIZONTAL,DISPONIBLE
CANTARELL-1048,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,24-AGO-2009,17-DIC-2009,3405.00,2921.00,DIRECCIONAL,DISPONIBLE
MARSOPA-2,MARSOPA,"AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE,08-SEP-1969,07-ABR-1970,2527.00,2527.00,VERTICAL,DISPONIBLE
CANTARELL-1042D,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,09-JUN-1999,25-JUL-1999,3165.00,3026.50,DIRECCIONAL,DISPONIBLE
CANTARELL-18,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,13-SEP-1983,24-ENE-1984,2500.00,2336.00,DIRECCIONAL,DISPONIBLE
CANTARELL-68,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,25-NOV-1979,29-FEB-1980,2964.00,2650.00,DIRECCIONAL,DISPONIBLE
"IXTAL DL-1",IXTAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,CERRADO,ACEITE-GAS,13-MAR-1997,09-AGO-1997,4106.00,4106.00,VERTICAL,DISPONIBLE
CANTARELL-1045D,AKAL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,07-ABR-1999,13-JUN-1999,2840.00,2358.00,DIRECCIONAL,DISPONIBLE
KOBAN-1,KOBAN,"AGUAS TERRITORIALES","AGUAS SOMERAS",EXPLORATORIO,INACTIVO,ACEITE-GAS,02-AGO-2016,03-MAR-2017,6587.00,6425.00,DIRECCIONAL,DISPONIBLE
SINAN-28,SINAN,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,ACEITE,10-ABR-2011,01-AGO-2011,5420.00,5363.00,DIRECCIONAL,DISPONIBLE
SIHIL-20,SIHIL,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,CERRADO,,23-SEP-2013,22-MAR-2014,2163.00,2023.00,DIRECCIONAL,DISPONIBLE
MAY-37,MAY,"AGUAS TERRITORIALES","AGUAS SOMERAS",DESARROLLO,INACTIVO,CONDENSADO,05-ABR-2009,,5305.00,5121.00,DIRECCIONAL,DISPONIBLE
